iter	RMSE
918	530.2498212
919	530.2196823
920	530.1887231
921	530.1764872
922	530.1336976
923	530.1153526
924	530.0783591
925	530.0498263
926	530.0235121
927	530.0221856
928	529.9187341
929	529.879616
930	529.8497558
931	529.8187394
932	529.778643
933	529.7531737
934	529.7179312
935	529.7070962
936	529.674259
937	529.6298082
938	529.5974151
939	529.5760509
940	529.5385241
941	529.4527383
942	529.4297248
943	529.4152427
944	529.3981785
945	529.3610556
946	529.338098
947	529.3224039
948	529.2991765
949	529.2761826
950	529.2301296
951	529.2045371
952	529.1587823
953	529.0761819
954	529.0516794
955	529.0080107
956	528.9638613
957	528.9249917
958	528.9197357
959	528.8895957
960	528.8618372
961	528.8455564
962	528.8117097
963	528.7725448
964	528.7635612
965	528.7388344
966	528.6931345
967	528.6235596
968	528.6029493
969	528.5658752
970	528.5150421
971	528.4724642
972	528.4476423
973	528.4076756
974	528.387856
975	528.3636789
976	528.3415957
977	528.3045363
978	528.2937951
979	528.2673356
980	528.2547197
981	528.2215311
982	528.1856997
983	528.1516919
984	528.0667765
985	528.0363761
986	528.0011901
987	527.9817687
988	527.9590948
989	527.9049841
990	527.8933094
991	527.8592454
992	527.8325852
993	527.7561891
994	527.7083791
995	527.6452163
996	527.6255026
997	527.6146974
998	527.579012
999	527.5593471
